,text,favourite_count,retweet_count,created_at,handle
42,Amazon s strategy to squeeze marketplace sellers and maximize its own profits is evolving https://t.co/8ncWSGXJCE,13,3,2021-12-01 13:04:31+00:00,@recode
43,The complicated promise of Amazon s space internet https://t.co/e7aIllokov,2,3,2021-11-03 15:21:29+00:00,@recode
44,Jeff Bezos commits $1 billion to conservation as Amazon destroys the world https://t.co/7G3hv1aGqQ,45,13,2021-09-21 18:28:53+00:00,@recode
45,Amazon s favorite electric vehicle company is going public at the best and worst time https://t.co/L3hWTCyfhI,4,2,2021-08-30 22:37:36+00:00,@recode
46,The Amazon union drive isn t over yet https://t.co/ujlHKYePcL,6,2,2021-08-03 21:32:40+00:00,@recode
47,"Several current and former Amazon workers claim the company values protecting its brand over everything else   including diversity, racial equity, and inclusion work. https://t.co/japjobUWgS",6,3,2021-06-16 21:00:20+00:00,@recode
48,"Over 2 years, around 24 members of Amazon s central DEI team have either left or been pushed out, sources told @Recode. 

Several current and former diversity employees say Amazon's public commitment to inclusion doesn t match up with the reality inside. https://t.co/vdyI8Ukq9t",4,5,2021-06-16 19:00:27+00:00,@recode
49,"Several diversity workers at Amazon told Recode that multiple people who have led diversity &amp; inclusion efforts at Amazon had no prior meaningful experience with diversity work, and that s made it difficult for them to do their jobs.
https://t.co/SZF4fQM4zO",3,0,2021-06-16 15:00:27+00:00,@recode
50,"Some current and former Amazon employees say many DEI experts can't access company demographic data that could impact diversity efforts.

As Recode reported on these issues, sources say the company further restricted access to data. https://t.co/pVBfk4ZUDp",8,5,2021-06-15 22:00:31+00:00,@recode
51,"At Amazon, not meeting business objectives comes with consequences for employees, sources tell @DelRey.

But when it comes to diversity and inclusion, workers claim the goals are  aspirational    with neither incentives nor consequences. https://t.co/DY35EWX2if",12,9,2021-06-15 18:30:10+00:00,@recode
52,"Interviews with multiple current and former Amazon employees show why the company has been slow to make real progress on DEI efforts. 

@DelRey explores how the behavior exhibits a larger company attitude of ignoring racial bias. https://t.co/bGbPilWAOE",7,2,2021-06-15 12:30:03+00:00,@recode
53,Amazon s Black employees say the company s HR department is failing them https://t.co/Fheq0rnUyG,9,1,2021-06-15 10:00:51+00:00,@recode
54,How a small antitrust lawsuit against Amazon could mean big things for Big Tech https://t.co/BZJB7A9lln,9,1,2021-05-25 21:51:11+00:00,@recode
55,Why Amazon is paying $9 billion for MGM and James Bond https://t.co/MCvcXRaz1h,7,6,2021-05-24 21:42:21+00:00,@recode
56,How a mailbox could get the Amazon union vote overturned https://t.co/P2EDOGAC8k,3,1,2021-05-21 18:41:12+00:00,@recode
57,Amazon internal messages show the FTC is prodding the tech giant to punish fake-review schemers https://t.co/yn25jxWHYp,4,0,2021-05-20 18:22:46+00:00,@recode
58,Amazon hit by five more lawsuits from employees who allege race and gender discrimination https://t.co/la1T6ni84X,6,2,2021-05-19 20:48:28+00:00,@recode
59,"94% of Amazon warehouse employees say they would recommend it as a place to work, according to a company survey. 

But several workers tell Recode that workers don t answer the survey honestly out of fear of negative feedback from managers. https://t.co/qHWxTTmh7j",76,22,2021-04-30 11:06:00+00:00,@recode
60,Jeff Bezos says 94% of Amazon workers would recommend their job to a friend. Amazon workers say that stat is unreliable. https://t.co/637vckd6bf,4,2,2021-04-29 20:01:51+00:00,@recode
