,text,favourite_count,retweet_count,created_at,handle
81,"Amazing news today from Swansea-based Upscale 3.0 alumnus @Veeqo, which has been acquired by #Amazon! Congratulations  

https://t.co/wGkce7GBdx",3,1,2022-03-07 17:06:32+00:00,TechNation
82," If you want to grow and develop as a tech leader, consider this visa!  - product manager at Amazon Slaviana relocated to the UK from Belarus to develop her career via the Tech Nation Visa. Find out more about the only visa you ll ever need: https://t.co/YgUb2JjnhH https://t.co/qeMWIo3Cvl",5,1,2022-02-03 16:47:14+00:00,TechNation
83,"@Deliveroo 
Alumni: Future Fifty 4.0
Sector: Food
HQ: London

The food delivery firm became a double unicorn when Amazon led its tasty $575m funding round back in 2015. It recently debuted on the London Stock Exchange after seeing strong performance during the pandemic. ",0,0,2021-07-16 14:17:23+00:00,TechNation
84,"  New Item Unlocked! Every team that signs up for this year's Tech Challenge Survive The Storm, Presented by Amazon receives one free backpack (Hint: You have to use it for this year's challenge   ). Sign-up today to lock yours in now! https://t.co/UDyFVYV6DR https://t.co/jWDUEDzRwc",1,1,2023-02-01 02:23:21+00:00,TheTechInteract
85,"Excitement for The Tech Challenge presented by Amazon is growing!   There are 2 more info clinics, adviser trainings and team workshops. Register today at https://t.co/G7uAQrgdC2 .
#BayArea #SanJose #SanFrancisco #Oakland #Sacramento #SantaCruz https://t.co/3q7kpr4L7W",1,0,2023-01-24 04:19:05+00:00,TheTechInteract
86,"  A great opportunity for High School teams! Complete The Tech Challenge presented by Amazon and earn 12 transferable college credits. Visit https://t.co/el46zlAyGb for more information.
#BayArea #SanJose #SanFrancisco #Oakland #Sacramento #SantaCruz #STEM https://t.co/ewwrnmWnc8",2,1,2023-01-18 02:01:05+00:00,TheTechInteract
87,"Yeah, we kinda had #NationalHatDay circled on our calendar. Because nobody does it better than Greg Brown!   What hat will he reveal at this year's Tech Challenge presented by Amazon?   https://t.co/m79obwqhuj",4,0,2023-01-15 16:03:15+00:00,TheTechInteract
88,"A $40,000 scholarship is waiting for you, but you need to apply by January 20!   Don't miss out on this great opportunity sponsored by Amazon.  https://t.co/3NyDGJGy9U",3,1,2023-01-07 01:14:33+00:00,TheTechInteract
89,The Amazon Future Engineer Scholarship program is providing high school seniors with a scholarship + a paid internship at Amazon! Visit https://t.co/gQDF50S0SY for more info! https://t.co/zoZkwWiyuG,2,0,2022-12-02 22:15:40+00:00,TheTechInteract
90,"Take the opportunity on December 3, to come down to the Tech Interactive for the 2023 Tech Challenge, presented by Amazon Info Clinic, Adviser Training and Team Workshop. Be sure to register at https://t.co/G7uAQqYCds .
.
.
.
#STEM #BayArea #SanJose #SanFrancisco #Oakland https://t.co/htgmlbrZ5D",1,0,2022-12-02 01:29:31+00:00,TheTechInteract
