,text,favourite_count,retweet_count,created_at,handle
0,"@nearcyan ChatGPT is entirely housed within Microsoft Azure. When push comes to shove, they have everything, including the model weights.",11808,985,2023-03-24 05:45:09+00:00,@elonmusk
1,"As part of their investment, Microsoft gained exclusive access to the entire OpenAI codebase",147393,17329,2023-03-24 05:34:31+00:00,@elonmusk
2,"Microsoft fired their AI safety team?
https://t.co/bp5vde1clm",72183,11999,2023-03-16 00:29:27+00:00,@elonmusk
3,"@GRDecter OpenAI was created as an open source (which is why I named it  Open  AI), non-profit company to serve as a counterweight to Google, but now it has become a closed source, maximum-profit company effectively controlled by Microsoft.

Not what I intended at all.",139768,11986,2023-02-17 09:36:56+00:00,@elonmusk
4,@peterboghossian @Microsoft https://t.co/EDD93Yx38p,5,0,2021-11-06 05:13:27+00:00,@Benioff
5,"With Copilot in Microsoft Viva, we re applying next-generation AI to help organizations prioritize both productivity and employee engagement, in order to build high performance teams. https://t.co/Tx8TxUKHPK",461,96,2023-04-20 16:18:08+00:00,@satyanadella
6,"Announcing updates to Microsoft Cloud for Healthcare, as we add new value across the care continuum, including new features to help payors transform and new AI capabilities to help providers gain insights and improve outcomes. https://t.co/pnZHqC9LV9",345,58,2023-04-12 20:20:40+00:00,@satyanadella
7,"With Microsoft Security Copilot, we're combining advanced AI models with domain- and task-specific data, context, and skills to empower every defender and transform every aspect of SOC productivity. https://t.co/AmNBDGQp3M",902,197,2023-03-28 17:01:35+00:00,@satyanadella
8,"With Microsoft 365 Copilot, we're giving people more agency and making technology more accessible with advanced AI and the most universal user interface: natural language. https://t.co/SNNMWcecgx",5387,1041,2023-03-16 16:12:02+00:00,@satyanadella
9,"This month and all year we recognize and celebrate the contributions of the Black and African American community at Microsoft. Thank you to my colleagues for sharing your powerful stories of innovation, leadership, and impact at our company and beyond.  https://t.co/VyIa4zk5qv",326,40,2023-02-19 17:08:48+00:00,@satyanadella
10,"Viva Sales is the super app for all things sales across Microsoft 365, Teams, and a seller s CRM. We re adding new generative AI features to help sellers close deals more quickly. https://t.co/vfJZR1Su7Z",620,115,2023-02-02 16:27:17+00:00,@satyanadella
11,Our strategic partnership will bring together the industry leadership of @LSEGplc with the trust and breadth of the Microsoft Cloud to deliver next generation services that will empower the future of financial markets. https://t.co/EtGSZ7oa2P,291,44,2022-12-12 17:09:50+00:00,@satyanadella
12,"@SandhuTaranjitS @Microsoft Thank you @SandhuTaranjitS for the great conversation on so many important topics, including how we can apply advances in technology to help drive India s resilience and growth going forward.",217,14,2022-12-06 18:28:56+00:00,@satyanadella
13,"This Veterans Day we honor the sacrifice and contributions of those who answer the call to military service   and the positive impact they have at Microsoft, as well as in their local communities. https://t.co/6e0ZRVQRAs",329,40,2022-11-11 16:20:56+00:00,@satyanadella
14,Doing more with less with the Microsoft Cloud https://t.co/D1aoG8P1KZ,618,128,2022-10-12 23:26:43+00:00,@satyanadella
15,"Looking forward to #MSIgnite today, where we ll share new innovations across the Microsoft Cloud, as we work to help organizations do more with less. Please join us. https://t.co/88GOFztJ3M",527,104,2022-10-12 15:48:32+00:00,@satyanadella
16,Thrilled to help the NBA tip off the season with the new NBA App powered by Microsoft Azure. https://t.co/72M9VbDQZY,477,46,2022-09-27 17:14:41+00:00,@satyanadella
17,"Today, we re sharing new Microsoft Viva innovations and Work Trend Index findings to help leaders end productivity paranoia, rebuild social capital, and re-energize their employees. https://t.co/qrgJtfxCI8",564,132,2022-09-22 14:03:48+00:00,@satyanadella
18,"We re celebrating Hispanic Heritage Month with stories of employee identity and empowerment, as we recognize the impact of this community both at Microsoft and beyond. https://t.co/8U6jTNcOlJ",325,49,2022-09-16 00:37:16+00:00,@satyanadella
19,"At #MSInspire, I shared how we re innovating across the Microsoft Cloud with both best-of-category products, as well as best-of-suite solutions, to help our customers do more with less. https://t.co/5r7kEU8ezu",514,118,2022-07-19 17:17:26+00:00,@satyanadella
20,Tune in to #MSInspire today to learn how we're creating new opportunity for our partners and customers across the Microsoft Cloud. https://t.co/u00bl28nfS,274,66,2022-07-19 14:45:40+00:00,@satyanadella
21,"I m looking forward to Inspire next week, where we ll share how we re creating new opportunity for partners to help customers do more with less across the Microsoft Cloud. Please join us. https://t.co/xpbI6s5JBp",448,86,2022-07-14 17:30:05+00:00,@satyanadella
22,"We re thrilled Netflix has selected Microsoft as its advertising technology and sales partner. We want publishers to have more long-term viable ad monetization platforms, so more people can access the content they love wherever they are. https://t.co/QmPszxJTOf",3828,657,2022-07-13 18:34:03+00:00,@satyanadella
23,"Two years into our sustained commitment to address racial inequity both inside and outside Microsoft, it s inspiring to see how these entrepreneurs are creating new opportunity in their communities. https://t.co/pC7GZNX95U",247,38,2022-06-21 16:26:45+00:00,@satyanadella
24,"We re expanding our employee experience platform Microsoft Viva to include new capabilities to meet the needs of specific roles, with the introduction of Viva Sales. https://t.co/cOPY1MG82m",263,39,2022-06-16 16:12:33+00:00,@satyanadella
25,"The identity ecosystem is evolving and requires a complete new trust fabric for our increasingly interconnected world. To bring this to life, we re introducing Microsoft Entra, a new product family encompassing our identity and access capabilities. https://t.co/vZ5v40Jcov",399,69,2022-05-31 20:28:06+00:00,@satyanadella
26,"We believe working on apps in meetings should be multiplayer, and at #MSBuild, we re introducing new ways for developers to build rich, collaborative experiences using the power of the Microsoft Graph and Teams. https://t.co/HQ8lyL8egq",567,107,2022-05-24 20:28:51+00:00,@satyanadella
27,"As @AmericanAir's preferred cloud platform, we ll apply the power of the Microsoft Cloud to help the airline reimagine its operations and build new experiences for employees and customers. https://t.co/fvmOBuXI4f",226,38,2022-05-18 20:26:57+00:00,@satyanadella
28,"Sustainability is an existential priority for our society and for every business today. With our Microsoft Cloud for Sustainability, we ll help organizations reduce their environmental footprint through the power of technology. https://t.co/p2Vo3Mdark",406,55,2022-05-17 19:03:19+00:00,@satyanadella
29,This month at Microsoft we are recognizing and celebrating the enormous contributions of women across the world. Thank you Cynthia Per-Lee and @erinchapple for your insights on how each of us can take action to ensure greater opportunity for all. https://t.co/PgszzAhg7n,227,35,2022-03-22 20:15:56+00:00,@satyanadella
30,"Today, we're expanding our partnership with @FedEx, bringing together their data and insights with the Microsoft Cloud to provide merchants with better visibility into their supply chains and offer customers more integrated and efficient ways to shop. https://t.co/nmDkuwXtsH",1922,235,2022-01-24 15:25:05+00:00,@satyanadella
31,Our new datacenter region in Belgium will help organizations across the public and private sectors accelerate their digital transformation with the Microsoft Cloud. https://t.co/g14koQJtVZ,732,128,2021-11-23 19:38:44+00:00,@satyanadella
32,"Tune in to our Ignite conference today to hear the next chapter of the Microsoft Cloud, and how we are building it for the era ahead. https://t.co/NMLl3rofbl",955,211,2021-11-02 14:07:34+00:00,@satyanadella
33,"Having a comprehensive employee experience platform will be key to business success going forward. By bringing @Allydotio into Microsoft Viva, we will help employees bridge the gap between their everyday tasks and their employer s most important objectives. https://t.co/FouuIRXWAz",559,107,2021-10-07 15:58:20+00:00,@satyanadella
34,"Today, we are expanding our partnership with ServiceNow, which is building new collaborative apps directly in the flow of work with Microsoft Teams. https://t.co/bIAkbyKeco",811,141,2021-09-16 20:51:36+00:00,@satyanadella
35,"The future of security is passwordless. Beginning today, we re making this vision a reality for consumers with a Microsoft account. https://t.co/SKXJhbOaln",2476,494,2021-09-15 14:11:29+00:00,@satyanadella
36,"Thank you @POTUS for convening a critical conversation on cybersecurity. Microsoft will invest $20 billion to advance our security solutions over the next 5 years, $150 million to help US government agencies upgrade protections, and expand our cybersecurity training partnerships.",3261,492,2021-08-25 21:41:30+00:00,@satyanadella
37,"@manikgupta @Microsoft Welcome Manik, I m thrilled to have you join and look forward to the impact you will have.",559,10,2021-08-17 15:33:01+00:00,@satyanadella
